,"Processor: AMD Ryzen 5 5500U with Radeon Graphics
Physical CPU Cores: 6
Logical CPUs (Threads): 12 (2 threads per core)
Minimum Frequency: Approximately 0.41 GHz
Maximum Frequency: Approximately 4.06 GHz ",,,
,,,,
,,,,
,,,,
,2k,4k,8k,16k
Run,FLOPS,FLOPS,FLOPS,
1,2.42E+10,2.57E+10,2.85E+10,The 16K × 16K benchmark could not be completed on the test platform due to memory limitations. A 16K matrix multiplication requires
2,2.61E+10,3.61E+10,4.00E+10,"approximately 6 GB for the three matrices alone, causing excessive paging on the 8 GB test system."
3,2.41E+10,4.37E+10,4.38E+10,
4,2.52E+10,4.36E+10,3.52E+10,
5,2.30E+10,4.45E+10,3.53E+10,
6,2.35E+10,4.48E+10,3.61E+10,
7,2.45E+10,4.47E+10,3.47E+10,
8,2.48E+10,4.42E+10,4.17E+10,
9,2.51E+10,3.69E+10,4.02E+10,
10,2.62E+10,3.31E+10,3.87E+10,
11,3.28E+10,3.89E+10,3.97E+10,
12,3.82E+10,3.64E+10,3.86E+10,
13,3.85E+10,3.31E+10,3.56E+10,
14,3.77E+10,3.41E+10,3.72E+10,
15,3.96E+10,3.30E+10,3.56E+10,
16,4.17E+10,3.60E+10,3.71E+10,
17,3.91E+10,3.69E+10,3.93E+10,
18,4.08E+10,3.56E+10,4.63E+10,
19,3.74E+10,3.62E+10,4.65E+10,
20,4.27E+10,3.50E+10,4.61E+10,
21,4.42E+10,3.27E+10,4.64E+10,
22,4.42E+10,3.43E+10,4.64E+10,
23,4.40E+10,2.94E+10,4.64E+10,
24,4.32E+10,3.55E+10,4.64E+10,
25,4.21E+10,4.03E+10,4.62E+10,
26,4.21E+10,4.47E+10,4.66E+10,
27,4.15E+10,4.45E+10,4.65E+10,
28,4.14E+10,4.21E+10,4.66E+10,
29,3.85E+10,4.32E+10,4.66E+10,
30,2.65E+10,4.53E+10,4.59E+10,
31,2.84E+10,4.42E+10,4.65E+10,
32,2.81E+10,4.54E+10,4.64E+10,
33,3.69E+10,4.54E+10,4.64E+10,
34,3.88E+10,4.53E+10,4.65E+10,
35,3.24E+10,4.49E+10,4.64E+10,
36,3.85E+10,4.44E+10,4.64E+10,
37,3.91E+10,4.50E+10,4.64E+10,
38,4.00E+10,4.34E+10,4.64E+10,
39,3.87E+10,4.50E+10,4.65E+10,
40,4.02E+10,4.33E+10,4.65E+10,
41,3.67E+10,4.37E+10,4.63E+10,
42,3.75E+10,4.42E+10,4.64E+10,
43,4.01E+10,4.42E+10,4.64E+10,
44,3.50E+10,4.44E+10,4.64E+10,
45,4.02E+10,4.30E+10,4.64E+10,
46,3.93E+10,3.77E+10,4.61E+10,
47,3.96E+10,4.09E+10,4.65E+10,
48,4.00E+10,4.34E+10,4.66E+10,
49,4.01E+10,4.17E+10,4.65E+10,
50,3.80E+10,4.13E+10,4.64E+10,
51,3.97E+10,4.31E+10,4.63E+10,
52,3.94E+10,4.54E+10,4.63E+10,
53,4.04E+10,4.34E+10,4.65E+10,
54,4.17E+10,4.42E+10,4.63E+10,
55,4.03E+10,4.06E+10,4.55E+10,
56,4.04E+10,4.36E+10,4.60E+10,
57,4.07E+10,4.35E+10,4.64E+10,
58,4.12E+10,4.46E+10,4.64E+10,
59,4.22E+10,4.16E+10,4.65E+10,
60,4.13E+10,4.33E+10,4.64E+10,
61,4.15E+10,4.44E+10,4.62E+10,
62,3.94E+10,4.44E+10,4.63E+10,
63,3.99E+10,4.41E+10,4.65E+10,
64,4.06E+10,4.06E+10,4.64E+10,
65,4.13E+10,4.08E+10,4.65E+10,
66,4.16E+10,4.36E+10,4.63E+10,
67,4.14E+10,4.49E+10,4.65E+10,
68,3.13E+10,4.47E+10,4.65E+10,
69,4.24E+10,4.38E+10,4.64E+10,
70,4.27E+10,4.43E+10,4.64E+10,
71,4.27E+10,4.49E+10,4.63E+10,
72,3.92E+10,4.51E+10,4.63E+10,
73,4.33E+10,4.41E+10,4.63E+10,
74,4.54E+10,4.51E+10,4.64E+10,
75,4.17E+10,4.42E+10,4.64E+10,
76,3.85E+10,4.21E+10,4.62E+10,
77,4.02E+10,4.48E+10,4.66E+10,
78,3.48E+10,4.43E+10,4.64E+10,
79,4.16E+10,4.41E+10,4.64E+10,
80,3.78E+10,4.45E+10,4.65E+10,
81,4.09E+10,4.51E+10,4.63E+10,
82,3.84E+10,4.50E+10,4.66E+10,
83,4.16E+10,4.49E+10,4.64E+10,
84,4.10E+10,4.51E+10,4.65E+10,
85,3.62E+10,4.55E+10,4.64E+10,
86,4.14E+10,4.54E+10,4.65E+10,
87,4.28E+10,4.49E+10,4.63E+10,
88,4.40E+10,4.50E+10,4.63E+10,
89,4.30E+10,4.53E+10,4.63E+10,
90,3.96E+10,4.40E+10,4.64E+10,
91,4.00E+10,4.36E+10,4.63E+10,
92,4.34E+10,4.40E+10,4.61E+10,
93,4.40E+10,4.41E+10,4.63E+10,
94,4.35E+10,4.46E+10,4.64E+10,
95,4.22E+10,4.45E+10,4.64E+10,
96,4.26E+10,4.21E+10,4.64E+10,
97,4.35E+10,4.38E+10,4.62E+10,
98,4.37E+10,4.40E+10,4.64E+10,
99,4.36E+10,4.44E+10,4.64E+10,
100,4.33E+10,4.18E+10,4.63E+10,
AVERAGE,3.84E+10,4.21E+10,,